ip,timestamp,method,uri,status_code,url_length,bytes,response_bytes,decoded_uri,is_suspicious_uri,is_4xx,is_5xx,bytes_normal,bytes_error,request_interval,method_GET,method_HEAD,method_OPTIONS,method_POST
66.249.66.194,1/22/2019 3:56,GET,/m/browse/electric-shavers/%D9%85%D8%A7%D8%B4%DB%8C%D9%86-%D8%A7%D8%B5%D9%84%D8%A7%D8%AD,200,88,20827,20827,/m/browse/electric-shavers/ماشین-اصلاح,0,0,0,20827,#N/A,0,TRUE,FALSE,FALSE,FALSE
66.249.66.194,1/22/2019 3:56,GET,/product/22706/%D8%B3%D8%A7%D8%B9%D8%AA-%D9%88%D8%B1%D8%B2%D8%B4%DB%8C-%D8%BA%D9%88%D8%A7%D8%B5%DB%8C-CHRIS-BENZ-%D9%85%D8%AF%D9%84-CBD.SI.KBS,200,142,41552,41552,/product/22706/ساعت-ورزشی-غواصی-chris-benz-مدل-cbd.si.kbs,0,0,0,41552,#N/A,0,TRUE,FALSE,FALSE,FALSE
66.249.66.194,1/22/2019 3:56,GET,/product/26694/61119/%D8%AF%D9%88%DA%86%D8%B1%D8%AE%D9%87-%DA%A9%D9%88%D9%87%D8%B3%D8%AA%D8%A7%D9%86-%D9%81%D9%88%D8%AC%DB%8C-%D9%85%D8%AF%D9%84-NEVADA-1.7-%282016%29,200,166,41524,41524,/product/26694/61119/دوچرخه-کوهستان-فوجی-مدل-nevada-1.7-(2016),0,0,0,41524,#N/A,0,TRUE,FALSE,FALSE,FALSE
66.249.66.194,1/22/2019 3:56,GET,/m/product/31479/61477/%DA%AF%D9%88%D8%B4%DB%8C-%D9%85%D9%88%D8%A8%D8%A7%DB%8C%D9%84-%D9%87%D9%88%D8%A7%D9%88%DB%8C-%D9%85%D8%AF%D9%84-Honor-5x-Dual-16GB-%28KIW-L21%29,200,167,21141,21141,/m/product/31479/61477/گوشی-موبایل-هواوی-مدل-honor-5x-dual-16gb-(kiw-l21),0,0,0,21141,#N/A,0,TRUE,FALSE,FALSE,FALSE
5.112.52.254,1/22/2019 3:56,GET,/image/1221,200,11,2856,2856,/image/1221,0,0,0,2856,#N/A,0,TRUE,FALSE,FALSE,FALSE
5.112.52.254,1/22/2019 3:56,GET,/image/32837,200,12,3323,3323,/image/32837,0,0,0,3323,#N/A,0,TRUE,FALSE,FALSE,FALSE
31.56.96.51,1/22/2019 3:56,GET,/static/images/amp/telegram.png,200,31,4859,4859,/static/images/amp/telegram.png,0,0,0,4859,#N/A,0,TRUE,FALSE,FALSE,FALSE
31.56.96.51,1/22/2019 3:56,GET,/image/60847/productModel/200x200,200,33,5667,5667,/image/60847/productmodel/200x200,0,0,0,5667,#N/A,0,TRUE,FALSE,FALSE,FALSE
66.249.66.194,1/22/2019 3:56,GET,"/m/filter/b105,b113,b118,b126,b135,b136,b147,b152,b168,b188,b192,b194,b209,b213,b215,b216,b217,b218,b221,b226,b249,b258,b32,b35,b4,b400,b41,b442,b454,b482,b523,b542,b548,b574,b597,b598,b6,b645,b648,b656,b67,b679,b703,b723,b724,b74,b820,b854,b88,b880,b95,b99,stexists",200,266,26770,26770,"/m/filter/b105,b113,b118,b126,b135,b136,b147,b152,b168,b188,b192,b194,b209,b213,b215,b216,b217,b218,b221,b226,b249,b258,b32,b35,b4,b400,b41,b442,b454,b482,b523,b542,b548,b574,b597,b598,b6,b645,b648,b656,b67,b679,b703,b723,b724,b74,b820,b854,b88,b880,b95,b99,stexists",0,0,0,26770,#N/A,0,TRUE,FALSE,FALSE,FALSE
40.77.167.129,1/22/2019 3:56,GET,/image/6229/productModel/100x100,200,32,1796,1796,/image/6229/productmodel/100x100,0,0,0,1796,#N/A,0,TRUE,FALSE,FALSE,FALSE
