IP,total_requests,requests_per_minute,unique_url_count,avg_url_length,avg_response_bytes,total_response_bytes,status_4xx_ratio,status_5xx_ratio,error_ratio_4xx_5xx,suspicious_uri_count,suspicious_uri_ratio,avg_request_interval_sec,min_request_interval_sec,method_ratio_GET,method_ratio_HEAD,method_ratio_OTHER,method_ratio_POST
34.247.132.53,247,1.0063149317579956,1,1.0,29950.542510121457,7397784,0.008097165991902834,0.0,0.008097165991902834,0,0.0,59.7520325203252,6.0,1.0,0.0,0.0,0.0
37.237.134.103,242,0.9859441841515584,194,30.66115702479339,7204.413223140496,1743468,0.008264462809917356,0.0,0.008264462809917356,0,0.0,2.08298755186722,0.0,0.9958677685950413,0.0,0.0,0.004132231404958678
5.125.96.231,232,0.9452026889386841,189,29.237068965517242,10782.008620689656,2501426,0.01293103448275862,0.0,0.01293103448275862,0,0.0,8.813852813852813,0.0,1.0,0.0,0.0,0.0
94.183.179.243,232,0.9452026889386841,204,27.56896551724138,9814.306034482759,2276919,0.0,0.0,0.0,0,0.0,2.7445887445887447,0.0,0.9956896551724138,0.0,0.0,0.004310344827586207
185.95.152.111,229,0.9329802403748217,151,28.62008733624454,7671.222707423581,1756710,0.004366812227074236,0.0,0.004366812227074236,0,0.0,0.5833333333333334,0.0,0.9344978165938864,0.0,0.0,0.06550218340611354
37.148.63.174,224,0.9126094927683847,182,24.6875,13270.995535714286,2972703,0.0,0.0,0.0,0,0.0,2.0762331838565022,0.0,1.0,0.0,0.0,0.0
31.47.54.211,217,0.8840904461193726,197,24.327188940092167,9060.760368663594,1966185,0.0,0.0,0.0,0,0.0,3.814814814814815,0.0,1.0,0.0,0.0,0.0
5.212.211.201,214,0.8718679975555104,140,39.794392523364486,11267.032710280373,2411145,0.004672897196261682,0.0,0.004672897196261682,0,0.0,9.535211267605634,0.0,1.0,0.0,0.0,0.0
151.238.232.18,207,0.8433489509064983,101,29.864734299516908,10584.111111111111,2190911,0.0,0.0,0.0,0,0.0,0.28640776699029125,0.0,1.0,0.0,0.0,0.0
81.12.48.4,206,0.8392748013852108,196,27.864077669902912,7348.344660194175,1513759,0.0,0.0,0.0,0,0.0,2.8390243902439023,0.0,0.9757281553398058,0.0,0.0,0.024271844660194174
46.143.249.66,205,0.8352006518639234,177,28.941463414634146,6130.741463414634,1256802,0.0,0.0,0.0,0,0.0,0.6029411764705882,0.0,0.9609756097560975,0.0,0.0,0.03902439024390244
78.158.180.158,199,0.8107557547361989,168,29.944723618090453,5974.889447236181,1189003,0.005025125628140704,0.0,0.005025125628140704,0,0.0,2.7525252525252526,0.0,0.9949748743718593,0.0,0.0,0.005025125628140704
204.18.201.252,198,0.8066816052149114,134,54.303030303030305,9122.70707070707,1806296,0.0,0.0,0.0,0,0.0,42.401015228426395,0.0,0.9949494949494949,0.0,0.0,0.005050505050505051
66.249.66.195,197,0.802607455693624,139,13.609137055837563,178.0,35066,0.0,0.0,0.0,0,0.0,73.93877551020408,1.0,1.0,0.0,0.0,0.0
213.217.50.233,196,0.7985333061723365,154,30.224489795918366,9602.969387755102,1882182,0.0,0.0,0.0,0,0.0,12.866666666666667,0.0,1.0,0.0,0.0,0.0
