IP,total_requests,requests_per_minute,unique_url_count,avg_url_length,avg_response_bytes,total_response_bytes,status_4xx_ratio,status_5xx_ratio,error_ratio_4xx_5xx,suspicious_uri_count,suspicious_uri_ratio,avg_request_interval_sec,min_request_interval_sec,method_ratio_GET,method_ratio_HEAD,method_ratio_OTHER,method_ratio_POST,label_reason,weak_label
5.113.106.97,1,0.0040741495212874,1,12.0,3975.0,3975,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,none,Normal
54.36.148.129,6,0.0244448971277245,6,96.66666666666669,29016.0,174096,0.0,0.0,0.0,0,0.0,1315.2,255.0,1.0,0.0,0.0,0.0,none,Normal
2.185.249.138,2,0.0081482990425748,2,12.0,3131.5,6263,0.0,0.0,0.0,0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,none,Normal
5.78.220.234,59,0.2403748217559584,57,27.11864406779661,9673.016949152545,570708,0.0338983050847457,0.0,0.0338983050847457,0,0.0,4.5,0.0,0.9661016949152542,0.0338983050847457,0.0,0.0,R5_high_4xx_scan,Anomaly
5.214.241.88,2,0.0081482990425748,2,12.0,4071.0,8142,0.0,0.0,0.0,0,0.0,8.0,8.0,1.0,0.0,0.0,0.0,none,Normal
151.239.147.192,1,0.0040741495212874,1,12.0,4401.0,4401,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,none,Normal
5.208.149.136,7,0.028519046649012,7,12.0,4220.714285714285,29545,0.0,0.0,0.0,0,0.0,88.33333333333333,0.0,1.0,0.0,0.0,0.0,none,Normal
109.125.172.203,2,0.0081482990425748,2,12.0,3706.5,7413,0.0,0.0,0.0,0,0.0,93.0,93.0,1.0,0.0,0.0,0.0,none,Normal
85.239.219.49,1,0.0040741495212874,1,22.0,133.0,133,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,none,Normal
5.119.250.28,1,0.0040741495212874,1,12.0,3975.0,3975,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,none,Normal
5.209.168.3,41,0.1670401303727847,39,28.317073170731707,9272.487804878048,380172,0.0,0.0,0.0,0,0.0,1.825,0.0,1.0,0.0,0.0,0.0,none,Normal
89.47.143.249,30,0.1222244856386229,30,31.866666666666667,9895.166666666666,296855,0.0333333333333333,0.0,0.0333333333333333,0,0.0,0.4137931034482758,0.0,0.9666666666666668,0.0333333333333333,0.0,0.0,R5_high_4xx_scan,Anomaly
40.77.189.43,2,0.0081482990425748,2,33.0,3378.5,6757,0.0,0.0,0.0,0,0.0,8.0,8.0,1.0,0.0,0.0,0.0,none,Normal
54.36.148.195,5,0.0203707476064371,5,112.0,12626.6,63133,0.0,0.0,0.0,0,0.0,2076.0,222.0,1.0,0.0,0.0,0.0,none,Normal
5.113.58.234,517,2.106335302505602,425,34.176015473887816,11482.353965183753,5936377,0.0038684719535783,0.0,0.0038684719535783,0,0.0,3.1763565891472867,0.0,0.9961315280464216,0.0,0.0,0.0038684719535783,R2_high_request_rate,Anomaly
5.239.38.238,6,0.0244448971277245,6,12.0,4445.0,26670,0.0,0.0,0.0,0,0.0,89.4,1.0,1.0,0.0,0.0,0.0,none,Normal
5.116.221.0,1,0.0040741495212874,1,12.0,3975.0,3975,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,none,Normal
31.56.218.141,7,0.028519046649012,7,12.0,4311.142857142857,30178,0.0,0.0,0.0,0,0.0,343.8333333333333,2.0,1.0,0.0,0.0,0.0,none,Normal
5.210.92.35,4,0.0162965980851497,4,12.0,4159.5,16638,0.0,0.0,0.0,0,0.0,26.0,1.0,1.0,0.0,0.0,0.0,none,Normal
5.115.98.126,2,0.0081482990425748,1,11.0,72346.0,144692,0.0,0.0,0.0,0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,none,Normal
5.160.51.44,33,0.1344469342024852,30,30.181818181818183,8098.30303030303,267244,0.0,0.0,0.0,0,0.0,0.6875,0.0,1.0,0.0,0.0,0.0,none,Normal
5.113.219.160,11,0.0448156447341617,11,56.0,9624.0,105864,0.0,0.0,0.0,0,0.0,0.6,0.0,1.0,0.0,0.0,0.0,none,Normal
5.208.40.62,8,0.0325931961702994,5,12.0,2491.5,19932,0.0,0.0,0.0,0,0.0,56.142857142857146,0.0,1.0,0.0,0.0,0.0,none,Normal
17.58.102.43,815,3.320431859849257,601,80.49570552147239,27071.60245398773,22063356,0.0134969325153374,0.0,0.0134969325153374,0,0.0,18.05896805896806,0.0,1.0,0.0,0.0,0.0,R2_high_request_rate,Anomaly
172.80.229.151,1,0.0040741495212874,1,22.0,133.0,133,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,none,Normal
195.181.3.169,2,0.0081482990425748,2,12.0,4071.0,8142,0.0,0.0,0.0,0,0.0,23.0,23.0,1.0,0.0,0.0,0.0,none,Normal
37.255.132.91,19,0.0774088409044611,18,35.21052631578947,32199.78947368421,611796,0.0,0.0,0.0,0,0.0,0.4444444444444444,0.0,1.0,0.0,0.0,0.0,none,Normal
31.56.107.53,2,0.0081482990425748,2,16.5,5686.0,11372,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,none,Normal
5.117.226.208,1,0.0040741495212874,1,12.0,4316.0,4316,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,none,Normal
165.227.237.142,1,0.0040741495212874,1,12.0,3975.0,3975,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,none,Normal
5.213.237.46,1,0.0040741495212874,1,12.0,3975.0,3975,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,none,Normal
5.112.160.123,1,0.0040741495212874,1,12.0,5852.0,5852,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,none,Normal
40.77.192.20,1,0.0040741495212874,1,33.0,1368.0,1368,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,none,Normal
5.232.184.73,2,0.0081482990425748,2,16.5,7891.0,15782,0.0,0.0,0.0,0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,none,Normal
54.36.148.25,12,0.0488897942554491,12,73.25,27338.916666666668,328067,0.0,0.0,0.0,0,0.0,1233.5454545454545,194.0,1.0,0.0,0.0,0.0,none,Normal
83.123.232.132,3,0.0122224485638622,3,12.0,3033.0,9099,0.0,0.0,0.0,0,0.0,73.5,27.0,1.0,0.0,0.0,0.0,none,Normal
37.255.182.169,3,0.0122224485638622,3,12.0,4860.333333333333,14581,0.0,0.0,0.0,0,0.0,119.5,35.0,1.0,0.0,0.0,0.0,none,Normal
83.121.90.116,2,0.0081482990425748,2,10.5,4159.0,8318,0.0,0.0,0.0,0,0.0,1133.0,1133.0,1.0,0.0,0.0,0.0,none,Normal
5.117.240.40,12,0.0488897942554491,12,12.0,5228.333333333333,62740,0.0,0.0,0.0,0,0.0,202.1818181818182,1.0,1.0,0.0,0.0,0.0,none,Normal
5.52.144.244,1,0.0040741495212874,1,293.0,18472.0,18472,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,none,Normal
104.194.24.140,3,0.0122224485638622,3,17.666666666666668,7382.333333333333,22147,0.0,0.0,0.0,0,0.0,162.0,157.0,1.0,0.0,0.0,0.0,none,Normal
5.236.83.205,3,0.0122224485638622,3,12.0,4173.0,12519,0.0,0.0,0.0,0,0.0,13.0,6.0,1.0,0.0,0.0,0.0,none,Normal
5.127.132.49,35,0.1425952332450601,31,25.77142857142857,13381.057142857142,468337,0.0,0.0,0.0,0,0.0,8.058823529411764,0.0,1.0,0.0,0.0,0.0,none,Normal
71.19.148.176,34,0.1385210837237726,34,28.88235294117647,8494.764705882353,288822,0.0,0.0,0.0,0,0.0,0.696969696969697,0.0,1.0,0.0,0.0,0.0,none,Normal
5.211.212.236,2,0.0081482990425748,2,12.0,4071.0,8142,0.0,0.0,0.0,0,0.0,4.0,4.0,1.0,0.0,0.0,0.0,none,Normal
192.15.132.119,1,0.0040741495212874,1,12.0,3294.0,3294,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,none,Normal
91.251.153.50,4,0.0162965980851497,4,12.0,3950.0,15800,0.0,0.0,0.0,0,0.0,2.6666666666666665,0.0,1.0,0.0,0.0,0.0,none,Normal
5.113.79.62,4,0.0162965980851497,4,12.0,4159.5,16638,0.0,0.0,0.0,0,0.0,52.0,8.0,1.0,0.0,0.0,0.0,none,Normal
5.114.106.126,2,0.0081482990425748,2,12.0,4071.0,8142,0.0,0.0,0.0,0,0.0,19.0,19.0,1.0,0.0,0.0,0.0,none,Normal
37.27.23.51,2,0.0081482990425748,2,12.0,5249.0,10498,0.0,0.0,0.0,0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,none,Normal
5.115.151.64,2,0.0081482990425748,2,12.0,3853.5,7707,0.0,0.0,0.0,0,0.0,30.0,30.0,1.0,0.0,0.0,0.0,none,Normal
5.123.5.130,2,0.0081482990425748,2,12.0,4071.0,8142,0.0,0.0,0.0,0,0.0,17.0,17.0,1.0,0.0,0.0,0.0,none,Normal
5.121.222.171,3,0.0122224485638622,3,12.0,5084.666666666667,15254,0.0,0.0,0.0,0,0.0,12.0,5.0,1.0,0.0,0.0,0.0,none,Normal
192.15.81.106,2,0.0081482990425748,2,12.0,3574.5,7149,0.0,0.0,0.0,0,0.0,25.0,25.0,1.0,0.0,0.0,0.0,none,Normal
54.36.148.218,5,0.0203707476064371,5,56.6,27317.4,136587,0.0,0.0,0.0,0,0.0,2158.25,1446.0,1.0,0.0,0.0,0.0,none,Normal
188.118.111.235,2,0.0081482990425748,2,12.0,5499.0,10998,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,none,Normal
31.2.253.182,1,0.0040741495212874,1,12.0,4328.0,4328,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,none,Normal
54.36.148.136,2,0.0081482990425748,2,50.5,33731.0,67462,0.0,0.0,0.0,0,0.0,5518.0,5518.0,1.0,0.0,0.0,0.0,none,Normal
83.123.184.165,3,0.0122224485638622,3,12.0,4173.0,12519,0.0,0.0,0.0,0,0.0,33.5,11.0,1.0,0.0,0.0,0.0,none,Normal
188.229.127.25,1,0.0040741495212874,1,22.0,133.0,133,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,none,Normal
5.125.94.221,54,0.2200040741495213,51,30.09259259259259,8241.574074074075,445045,0.0,0.0,0.0,0,0.0,1.471698113207547,0.0,1.0,0.0,0.0,0.0,none,Normal
37.129.115.91,1,0.0040741495212874,1,11.0,2489.0,2489,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,none,Normal
2.178.221.13,1,0.0040741495212874,1,12.0,4708.0,4708,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,none,Normal
37.129.219.124,1,0.0040741495212874,1,12.0,3975.0,3975,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,none,Normal
5.215.251.6,2,0.0081482990425748,2,12.0,4071.0,8142,0.0,0.0,0.0,0,0.0,6.0,6.0,1.0,0.0,0.0,0.0,none,Normal
158.69.85.71,18,0.0733346913831737,18,12.0,3661.1666666666665,65901,0.0,0.0,0.0,0,0.0,48.8235294117647,1.0,1.0,0.0,0.0,0.0,none,Normal
46.100.248.130,473,1.927072723568955,440,28.898520084566595,8713.651162790698,4121557,0.0105708245243128,0.0,0.0105708245243128,0,0.0,0.3686440677966102,0.0,0.9978858350951374,0.0,0.0,0.0021141649048625,R2_high_request_rate,Anomaly
5.72.16.75,1,0.0040741495212874,1,22.0,133.0,133,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,none,Normal
37.129.161.147,2,0.0081482990425748,2,12.0,4071.0,8142,0.0,0.0,0.0,0,0.0,11.0,11.0,1.0,0.0,0.0,0.0,none,Normal
5.235.252.183,80,0.3259319617029945,80,31.4375,9673.425,773874,0.0,0.0,0.0,0,0.0,0.2025316455696202,0.0,1.0,0.0,0.0,0.0,none,Normal
93.126.15.53,5,0.0203707476064371,5,21.8,29157.6,145788,0.0,0.0,0.0,0,0.0,114.5,15.0,1.0,0.0,0.0,0.0,none,Normal
