window_start,requests_per_window,unique_ip_count,unique_url_count,avg_url_length,max_url_length,avg_response_bytes,total_response_bytes,status_2xx_ratio,status_3xx_ratio,status_4xx_ratio,status_5xx_ratio,suspicious_uri_ratio,avg_request_interval_sec,method_ratio_GET,method_ratio_HEAD,method_ratio_OTHER,method_ratio_POST,max_requests_single_ip,label_reason,weak_label
2019-01-22 05:50:00,232,49,201,71.83620689655173,462,24689.133620689656,5727879,0.9353448275862069,0.0560344827586206,0.0086206896551724,0.0,0.0043103448275862,149.69724770642202,0.9870689655172412,0.0129310344827586,0.0,0.0,32,none,Normal
2019-01-22 05:43:00,467,33,350,55.74304068522484,433,15717.47965738758,7340063,0.9079229122055674,0.0792291220556745,0.012847965738758,0.0,0.0,40.91973969631236,0.9957173447537472,0.0042826552462526,0.0,0.0,92,none,Normal
2019-01-22 05:05:00,249,45,215,75.09236947791165,504,20362.128514056225,5070170,0.9196787148594378,0.0602409638554216,0.0200803212851405,0.0,0.0,126.04545454545456,0.9598393574297188,0.0281124497991967,0.0,0.0120481927710843,48,none,Normal
2019-01-22 06:36:00,275,68,216,67.07272727272728,434,22053.20727272727,6064632,0.8690909090909091,0.0981818181818181,0.0327272727272727,0.0,0.0,83.43621399176955,0.9890909090909092,0.0109090909090909,0.0,0.0,47,none,Normal
2019-01-22 07:22:00,815,69,607,37.63435582822086,327,15121.25398773006,12323822,0.9558282208588956,0.0368098159509202,0.007361963190184,0.0,0.0,34.64267676767677,0.9938650306748468,0.0012269938650306,0.0012269938650306,0.003680981595092,142,none,Normal
2019-01-22 07:48:00,1092,123,692,39.532051282051285,453,12324.93956043956,13458834,0.9395604395604396,0.0567765567765567,0.0036630036630036,0.0,0.0,57.32730732635585,0.989010989010989,0.0018315018315018,0.0,0.0091575091575091,136,R2_high_request_rate,Anomaly
2019-01-22 06:17:00,204,37,178,85.44607843137256,431,26449.519607843136,5395702,0.9558823529411764,0.034313725490196,0.0098039215686274,0.0,0.0,72.73711340206185,0.9901960784313726,0.0098039215686274,0.0,0.0,43,none,Normal
2019-01-22 06:08:00,218,37,196,91.72935779816514,433,28524.435779816515,6218327,0.963302752293578,0.036697247706422,0.0,0.0,0.0,150.99065420560748,0.9908256880733946,0.0091743119266055,0.0,0.0,45,none,Normal
2019-01-22 06:41:00,283,52,236,74.84098939929329,430,20034.865724381627,5669867,0.8869257950530035,0.0918727915194346,0.0212014134275618,0.0,0.0035335689045936,92.04166666666669,0.9893992932862192,0.0106007067137809,0.0,0.0,40,none,Normal
2019-01-22 05:39:00,281,39,251,87.37722419928825,496,25317.085409252668,7114101,0.9395017793594306,0.0427046263345195,0.0177935943060498,0.0,0.0,108.9084249084249,0.99288256227758,0.0071174377224199,0.0,0.0,57,none,Normal
2019-01-22 05:42:00,225,38,197,98.52,489,22370.782222222224,5033426,0.9022222222222224,0.0755555555555555,0.0222222222222222,0.0,0.0,137.78995433789953,0.9911111111111112,0.0088888888888888,0.0,0.0,44,none,Normal
2019-01-22 05:17:00,149,36,116,80.96644295302013,526,26033.28187919463,3878959,0.7986577181208053,0.2013422818791946,0.0,0.0,0.0,51.4551724137931,0.9798657718120806,0.0201342281879194,0.0,0.0,26,none,Normal
2019-01-22 05:56:00,245,34,215,65.29795918367347,437,18136.17959183673,4443364,0.9020408163265308,0.0775510204081632,0.0204081632653061,0.0,0.0040816326530612,115.5,0.979591836734694,0.0204081632653061,0.0,0.0,70,none,Normal
2019-01-22 06:54:00,456,74,370,51.00657894736842,489,16545.625,7544805,0.9451754385964912,0.0416666666666666,0.0131578947368421,0.0,0.0,72.24009324009324,0.9846491228070176,0.0043859649122807,0.0,0.0109649122807017,77,none,Normal
2019-01-22 04:40:00,345,43,283,69.5768115942029,481,19096.646376811597,6588343,0.881159420289855,0.1072463768115942,0.0115942028985507,0.0,0.0,52.95238095238095,0.9652173913043478,0.0318840579710144,0.0,0.0028985507246376,77,none,Normal
2019-01-22 06:44:00,591,63,425,44.82910321489002,426,14456.091370558375,8543550,0.8629441624365483,0.0862944162436548,0.0507614213197969,0.0,0.0,34.386925795053,0.988155668358714,0.0033840947546531,0.0,0.0084602368866328,97,none,Normal
2019-01-22 06:04:00,279,36,229,69.21863799283155,432,19205.78494623656,5358414,0.8924731182795699,0.053763440860215,0.053763440860215,0.0,0.0,65.34456928838951,0.992831541218638,0.007168458781362,0.0,0.0,77,none,Normal
2019-01-22 04:51:00,180,36,160,86.2611111111111,460,23029.93888888889,4145389,0.8944444444444445,0.0666666666666666,0.0388888888888888,0.0,0.0,84.8735632183908,1.0,0.0,0.0,0.0,30,none,Normal
2019-01-22 04:43:00,307,35,235,68.92833876221498,485,22572.8664495114,6929870,0.9153094462540716,0.0684039087947882,0.01628664495114,0.0,0.0,41.758389261744966,0.986970684039088,0.013029315960912,0.0,0.0,65,none,Normal
2019-01-22 05:48:00,248,37,214,93.4758064516129,438,26606.84677419355,6598498,0.939516129032258,0.0443548387096774,0.0161290322580645,0.0,0.0040322580645161,84.53719008264463,0.9919354838709676,0.0080645161290322,0.0,0.0,37,none,Normal
2019-01-22 05:19:00,233,46,194,68.91845493562232,483,21102.64806866953,4916917,0.8369098712446352,0.1244635193133047,0.03862660944206,0.0,0.0,75.2433628318584,0.9914163090128756,0.0085836909871244,0.0,0.0,35,none,Normal
2019-01-22 06:46:00,329,60,251,53.70820668693009,765,17546.562310030396,5772819,0.8753799392097265,0.1033434650455927,0.0212765957446808,0.0,0.0,130.29968454258676,0.9908814589665652,0.0091185410334346,0.0,0.0,42,none,Normal
2019-01-22 06:48:00,240,54,197,68.8,422,19746.579166666663,4739179,0.875,0.1041666666666666,0.0208333333333333,0.0,0.0166666666666666,140.21333333333334,0.9916666666666668,0.0083333333333333,0.0,0.0,36,R1_suspicious_uri,Anomaly
2019-01-22 06:42:00,312,54,216,65.52884615384616,433,17323.93269230769,5405067,0.8685897435897436,0.0833333333333333,0.048076923076923,0.0,0.0,39.79794520547945,0.9935897435897436,0.0064102564102564,0.0,0.0,61,none,Normal
2019-01-22 07:19:00,571,78,415,47.62697022767075,465,13014.800350262696,7431451,0.956217162872154,0.0297723292469352,0.0140105078809106,0.0,0.0017513134851138,64.8040293040293,0.9842381786339754,0.0035026269702276,0.0,0.0122591943957968,88,none,Normal
2019-01-22 05:10:00,134,36,113,74.01492537313433,436,22924.201492537315,3071843,0.7761194029850746,0.1119402985074626,0.0597014925373134,0.0522388059701492,0.0,112.97709923664122,0.9328358208955224,0.0373134328358208,0.0,0.0298507462686567,21,R4_high_5xx_error,Anomaly
2019-01-22 05:36:00,212,42,166,85.69339622641509,496,19853.77358490566,4209000,0.7641509433962265,0.160377358490566,0.0754716981132075,0.0,0.0,132.8009708737864,0.9858490566037736,0.0141509433962264,0.0,0.0,41,R5_high_4xx_scan,Anomaly
2019-01-22 05:11:00,170,38,98,59.59411764705882,274,29465.4,5009118,0.8470588235294118,0.0705882352941176,0.0764705882352941,0.0058823529411764,0.0,82.3558282208589,0.976470588235294,0.0235294117647058,0.0,0.0,78,R5_high_4xx_scan,Anomaly
2019-01-22 07:10:00,620,73,450,42.04677419354839,453,14019.243548387096,8691931,0.9419354838709676,0.0564516129032258,0.0016129032258064,0.0,0.0,67.64141414141415,0.9935483870967742,0.0048387096774193,0.0,0.0016129032258064,83,none,Normal
