window_start,requests_per_window,unique_ip_count,unique_url_count,avg_url_length,max_url_length,avg_response_bytes,total_response_bytes,status_2xx_ratio,status_3xx_ratio,status_4xx_ratio,status_5xx_ratio,suspicious_uri_ratio,avg_request_interval_sec,method_ratio_GET,method_ratio_HEAD,method_ratio_OTHER,method_ratio_POST,max_requests_single_ip
2019-01-22 06:10:00,246,42,209,87.41463414634147,438,23535.735772357722,5789791,0.9471544715447154,0.032520325203252036,0.02032520325203252,0.0,0.0,97.55793991416309,0.9878048780487805,0.012195121951219513,0.0,0.0,37
2019-01-22 06:11:00,209,48,174,100.91866028708134,440,21182.569377990432,4427157,0.8708133971291866,0.07655502392344497,0.05263157894736842,0.0,0.004784688995215311,123.66666666666667,0.9521531100478469,0.04784688995215311,0.0,0.0,31
2019-01-22 06:12:00,378,44,287,70.18783068783068,440,18817.99470899471,7113202,0.9497354497354498,0.04497354497354497,0.005291005291005291,0.0,0.0,81.18801089918256,0.9973544973544973,0.0026455026455026454,0.0,0.0,92
2019-01-22 06:13:00,424,45,356,61.04481132075472,452,14627.698113207547,6202144,0.9575471698113207,0.03537735849056604,0.007075471698113208,0.0,0.0023584905660377358,97.95157384987894,0.9905660377358491,0.007075471698113208,0.0,0.0023584905660377358,123
2019-01-22 06:14:00,256,41,221,70.15625,445,24147.30078125,6181709,0.97265625,0.02734375,0.0,0.0,0.0,85.63524590163935,0.9921875,0.0078125,0.0,0.0,62
2019-01-22 06:15:00,321,35,289,50.17133956386293,426,16614.940809968848,5333396,0.9532710280373832,0.037383177570093455,0.009345794392523364,0.0,0.0,26.4,0.9906542056074766,0.009345794392523364,0.0,0.0,158
2019-01-22 06:16:00,436,43,327,59.9151376146789,419,16345.146788990825,7126484,0.9610091743119266,0.034403669724770644,0.0045871559633027525,0.0,0.0,36.65492957746479,0.9931192660550459,0.006880733944954129,0.0,0.0,210
2019-01-22 06:17:00,204,37,178,85.44607843137256,431,26449.519607843136,5395702,0.9558823529411765,0.03431372549019608,0.00980392156862745,0.0,0.0,72.73711340206185,0.9901960784313726,0.00980392156862745,0.0,0.0,43
2019-01-22 06:18:00,236,44,199,75.10169491525424,417,23811.25,5619455,0.9449152542372882,0.05084745762711865,0.00423728813559322,0.0,0.00423728813559322,57.63013698630137,0.9830508474576272,0.012711864406779662,0.0,0.00423728813559322,43
2019-01-22 06:19:00,318,44,287,53.827044025157235,452,15065.861635220126,4790944,0.9465408805031447,0.0440251572327044,0.009433962264150943,0.0,0.006289308176100629,94.35830618892508,0.9937106918238994,0.006289308176100629,0.0,0.0,130
2019-01-22 06:20:00,185,45,157,73.28108108108108,433,22954.356756756755,4246556,0.9081081081081082,0.08648648648648649,0.005405405405405406,0.0,0.005405405405405406,118.64204545454545,0.9837837837837838,0.016216216216216217,0.0,0.0,42
2019-01-22 06:21:00,397,52,324,49.53904282115869,452,16419.654911838792,6518603,0.9269521410579346,0.05037783375314862,0.022670025188916875,0.0,0.0,140.01033591731266,0.9924433249370277,0.007556675062972292,0.0,0.0,135
2019-01-22 06:22:00,220,45,186,54.554545454545455,430,24145.177272727273,5311939,0.9136363636363637,0.08181818181818182,0.004545454545454545,0.0,0.004545454545454545,51.83490566037736,0.9954545454545455,0.004545454545454545,0.0,0.0,42
2019-01-22 06:23:00,296,39,243,60.557432432432435,430,17841.817567567567,5281178,0.9290540540540541,0.07094594594594594,0.0,0.0,0.0033783783783783786,50.667844522968196,0.9898648648648649,0.006756756756756757,0.0,0.0033783783783783786,60
2019-01-22 06:24:00,315,41,255,52.0,437,17760.86349206349,5594672,0.9206349206349206,0.06666666666666667,0.012698412698412698,0.0,0.0031746031746031746,37.51827242524917,0.9936507936507937,0.006349206349206349,0.0,0.0,69
2019-01-22 06:25:00,225,44,170,73.36,452,20143.46222222222,4532279,0.8622222222222222,0.12,0.017777777777777778,0.0,0.0,152.545871559633,0.9866666666666667,0.013333333333333334,0.0,0.0,36
2019-01-22 06:26:00,193,42,167,71.60103626943005,428,25673.19689119171,4954927,0.917098445595855,0.07253886010362694,0.010362694300518135,0.0,0.0,164.47826086956522,0.9844559585492227,0.015544041450777202,0.0,0.0,35
2019-01-22 06:27:00,271,57,217,84.49077490774907,481,24465.39852398524,6630123,0.8708487084870848,0.05904059040590406,0.07011070110701106,0.0,0.0,130.24193548387098,0.996309963099631,0.0036900369003690036,0.0,0.0,43
2019-01-22 06:28:00,224,45,182,89.42857142857143,431,26850.96875,6014617,0.9017857142857143,0.07589285714285714,0.022321428571428572,0.0,0.004464285714285714,73.88151658767772,0.9910714285714286,0.008928571428571428,0.0,0.0,38
2019-01-22 06:29:00,250,57,208,83.664,677,26135.008,6533752,0.852,0.108,0.04,0.0,0.0,123.82203389830508,0.992,0.008,0.0,0.0,38
2019-01-22 06:30:00,452,45,366,63.45796460176991,432,18832.694690265485,8512378,0.915929203539823,0.061946902654867256,0.022123893805309734,0.0,0.0022123893805309734,48.633484162895925,0.9933628318584071,0.00663716814159292,0.0,0.0,95
2019-01-22 06:31:00,315,44,253,74.63492063492063,433,21905.044444444444,6900089,0.8539682539682539,0.0761904761904762,0.06984126984126984,0.0,0.0,95.05573770491803,0.9904761904761905,0.009523809523809525,0.0,0.0,56
2019-01-22 06:32:00,361,53,275,62.77562326869806,433,20296.116343490306,7326898,0.8670360110803325,0.09695290858725762,0.036011080332409975,0.0,0.0,138.2703488372093,0.997229916897507,0.002770083102493075,0.0,0.0,56
